"Agency Code","Agency Name","Previous UII","Unique Investment Identifier","Shared Services Category","Shared Services Identifier","LOB Title","Mission Support Investment Category","Bureau Code","Bureau Name","Part Of IT Portfolio","Mission Delivery and Management Support Area","Type of Investment","National Security Systems Identifier","IT Infrastructure and Management Type","Line Item Descriptor","Investment Title","Investment Description","FEA BRM Services - Primary service area","Total IT Spending FY2018 (PY) ($ M)","Total IT Spending FY2019 (CY) ($ M)","Total IT Spending FY2020 (BY) ($ M)","DME PY Agency Funding ($ M)","DME PY Contributions ($ M)","DME CY Agency Funding ($ M)","DME CY Contributions ($ M)","DME BY Agency Funding ($ M)","DME BY Contributions ($ M)","DME BY Budget Authority Agency Funding ($ M)","O&M PY Agency Funding ($ M)","O&M PY Contributions ($ M)","O&M CY Agency Funding ($ M)","O&M CY Contributions ($ M)","O&M BY Agency Funding ($ M)","O&M BY Contributions ($ M)","O&M BY Budget Authority Agency Funding ($ M)","Cloud Computing Alternatives Evaluation","Total Cloud PaaS/IaaS Cost CY","Total Cloud SaaS Cost CY","Total Other Managed Services Cost CY","Budget Year","Derived Status","Updated Date","Updated Time"
"	010","Department of the Interior",010-000000166,010-000000166,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	04","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Recreation Management Information System (RMIS)","RMIS is a BLM-internal application that aggregates information pertaining to BLM land used for public recreation purposes.  Since 1984, RMIS has been the official record for outdoor recreation information on public lands managed by the BLM.","129 - Reporting and Information",0.137196,0.105578,0.103347,0,0,0,0,0,0,0,0.137196,0,0.105578,0,0.103347,0,0.103347,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000171,010-000000171,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Wild Horse and Burro Program System (WHBPS)","The function of Wild Horse and Burro Program System (WHBPS) is to rehost existing legacy functions and add additional functions to provide more effective automation support to all components of the Wild Horse and Burro business processes.","129 - Reporting and Information",0.825823,1.116227,0.593971,0,0,0.513668,0,0,0,0,0.825823,0,0.602559,0,0.593971,0,0.593971,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000156,010-000000156,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	07","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - IT Support for Resources and Mineral Land Use Planning (ePlanning)","ePlanning is a cross-cutting DOI application that assists employees with writing, editing, and reviewing of Land Use Planning (LUP) and National Environment Policy Act (NEPA) documentation based on integrated Commercial Off the Shelf (COTS) products. It supports the President's Management Agenda (PMA) with 24/7 online access for the public and various levels of Government.","023 - Environmental Monitoring and Forecasting",1.375543,1.400854,1.484042,0,0,0,0,0,0,0,1.375543,0,1.400854,0,1.484042,0,1.484042,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000159,010-000000159,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - National Invasive Species Information Management System (formerly Weed Database)","The National Invasive Species Information Management System (NISIMS) provides tools for data collection and the generation of analysis and statistics for noxious weed infestations and treatments through a centralized weed geodatabase.","129 - Reporting and Information",0.421775,0.173908,0,0,0,0,0,0,0,0,0.421775,0,0.173908,0,0,0,0,"	5",0,0,0,2020,Reorganization,2019-04-03,18:52:02
"	010","Department of the Interior","010-000000103,010-000000159",010-000000103,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Vegetation Management Action Portal (VMAP) - (formerly Emergency Stabilization and Rehabilitation System (ESRS))","Vegetation Management Action Portal (VMAP) evaluates the effectiveness of funds spent on post-fire emergency stabilization and rehabilitation activities. It provides managers the ability to share data on a multi-level basis for initial plan submission, review, audit and reporting.","010 - Emergency Response",1.190296,0.50504,0.300685,0.799248,0,0,0,0,0,0,0.391048,0,0.50504,0,0.300685,0,0.300685,"	5",0,0,0,2020,Reorganization,2019-04-03,18:52:02
"	010","Department of the Interior",010-000000164,010-000000164,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Rangeland Administration System (RAS)","The Rangeland Administration System (RAS) is a platform-independent, web-based business system.  RAS maintains information about authorizations, allotments, operators, and reports on grazing resources, and grazing bill history.","129 - Reporting and Information",0.521878,0.797017,0.595685,0,0,0,0,0,0,0,0.521878,0,0.797017,0,0.595685,0,0.595685,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000162,010-000000162,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Protection and Response Information System (PRIS)","The Protection and Response Information System (PRIS) provides a repository of hazardous material and historic mine sites that pose likely safety risks to the public or present serious threats to the environment.","024 - Environmental Remediation",0.075243,0.159162,0.187471,0,0,0,0,0,0,0,0.075243,0,0.159162,0,0.187471,0,0.187471,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000111,010-000000111,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - General Land Office Records Automation System (GLO)","The General Land Office Automated Records System (GLORAS) encompasses the automation and retrieval of eastern and western land title information for land patents, survey plats, field notes and land Status records.","345 - Management of Government Records",0.511525,0.409942,0.472428,0,0,0,0,0,0,0,0.511525,0,0.409942,0,0.472428,0,0.472428,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000085,010-000000085,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Alaska Land Information System (ALIS)","ALIS stores and manages lands and minerals data.  Information is abstracted from official lands and minerals cases.  Certain retrievals from this system are linked to scanned images of patent documents, master title plats, and survey plats and notes.","345 - Management of Government Records",0.057341,0.265,0.210315,0,0,0,0,0,0,0,0.057341,0,0.265,0,0.210315,0,0.210315,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior","010-000000105,010-000001550",010-000000105,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Enterprise Geographic Information System (EGIS)","The Enterprise Geographic Information System (EGIS) project is coordinating and managing the deployment of an enterprise GIS utility to support Bureau-wide business processes, spatial data management, and new applications development.","590 - Mapping / Geospatial",0.412419,2.399833,2.038115,0,0,0.5,0,0,0,0,0.412419,0,1.899833,0,2.038115,0,2.038115,"	5",0,0,0,2020,Reorganization,2019-04-03,18:52:02
"	010","Department of the Interior",010-000000094,010-000000094,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	01","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Collections and Billings System (CBS)","Collections and Billings System (CBS) integrates inventory management, space leasing, performance and workload measurement, collections and billings systems.","127 - Collections and Receivables",2.352124,1.778357,1.665839,0,0,0,0,0,0,0,2.352124,0,1.778357,0,1.665839,0,1.665839,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000165,010-000000165,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Rangeland Improvement Project System (RIPS)","The Rangeland Improvement Project System (RIPS) is a legacy distributed system which provides data regarding range improvements across BLM sites, such as spring developments, cattle guard installations, and  enclosures.","129 - Reporting and Information",0.035818,0.132344,0.249826,0,0,0,0,0,0,0,0.035818,0,0.132344,0,0.249826,0,0.249826,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000109,010-000000109,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Forest Vegetation Information System (FORVIS)","The Forest Vegetation Information System (FORVIS) provides data management and analytical capabilities for the inventory and monitoring vegetation on forested uplands with focus on the management of attribute data about vegetation polygons.","309 - Environmental Site Stewardship",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	5",0,0,0,2020,"Eliminated by consolidation",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000357,010-000000134,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","04 - Network","00 - Investment Line","BLM - Infrastructure - Local Area Network","All IT investments required to provide networking services within a building, campus, data center, or Center, including hardware, software and services.","139 - Provide and Maintain IT Infrastructure",2.566104,1.637055,1.243719,0,0,0,0,0,0,0,2.566104,0,1.637055,0,1.243719,0,1.243719,"	5",0,0,0,2020,Split,2019-04-03,18:52:02
"	010","Department of the Interior",010-000000170,010-000000170,"00 - Agency Investments",,N/A,"01 - Not Applicable","	04","Bureau of Land Management","01 - Mission Delivery","	05","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BLM - Wild Fire Management Information System (WFMI)","The Wild Fire Management Information System (WFMI) supports the entire BLM's core function to manage wildland fire and other emergency dispatch incidents in the most efficient and cost effective manner.","010 - Emergency Response",0.084349,0.376986,0.766413,0,0,0,0,0,0,0,0.084349,0,0.376986,0,0.766413,0,0.766413,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000001875,010-000001875,"00 - Agency Investments",,N/A,"01 - Not Applicable","	06","Bureau of Ocean Energy Management","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOEM - Simultaneous Ascending Clock Auction (SACA)","Competitive offshore wind lease sales within the scope of this contract are accomplished with a simultaneous ascending auction.  The auction is held online, and that requires specialized software and services.","328 - Collect Revenues and User Fees",0.61055,0.85,0.85,0,0,0,0,0,0,0,0.61055,0,0.85,0,0.85,0,0.85,"	3",0,0.85,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002252,010-000002252,"00 - Agency Investments",,N/A,"01 - Not Applicable","	06","Bureau of Ocean Energy Management","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","02 - IT Security & Compliance","00 - Investment Line","BOEM - Infrastructure - IT Security & Compliance","This investment captures bureau infrastructure costs that roll up to a parent investment.","315 - Threat and Vulnerability Management",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"	4",0,0,0,2020,"Eliminated by consolidation",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002117,010-000002117,"00 - Agency Investments",,N/A,"01 - Not Applicable","	06","Bureau of Ocean Energy Management","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOEM - Geological Interpretive Tools (GIT)","Geological Interpretive Tools (GIT) provides geoscientists and engineers technologically advanced software applications, hardware, and network configurations to aid in the assessment and evaluation of oil and gas resources being explored and developed.","019 - Energy Production and Transmission",3.8,3.6,3.8,0,0,0,0,0,0,0,3.8,0,3.6,0,3.8,0,3.8,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000001871,010-000001871,"00 - Agency Investments",,N/A,"01 - Not Applicable","	06","Bureau of Ocean Energy Management","01 - Mission Delivery","	07","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOEM - Marine Minerals Information System (MMIS)","MMIS support BOEM s National OCS Sand Inventory.  It allows BOEM to ingest process, analyze, update, store and disseminate offshore marine minerals geospatial information.  The geodatabase supports decisions for sustainable use of offshore resources.","057 - Conservation, Marine and Land Management",0.651,0.651,0.65,0.277,0,0.277,0,0,0,0,0.374,0,0.374,0,0.65,0,0.65,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000001472,010-000001472,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - National Mine Map Repository (NMMR)","NMMR archives old mine maps for coal and non-coal mines.  There is currently more than 140,000 maps available on-line and NMMR is gradually georeferencing maps and digitizing boundaries to publish a flex viewer to assist customers in locating maps.","590 - Mapping / Geospatial",0.846102,0.062102,0.062483,0.52,0,0,0,0,0,0,0.326102,0,0.062102,0,0.062483,0,0.062483,"	3",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000769,010-000000769,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - Single Source Coal Reporting System (SSCR)","Single Source Coal Reporting - SSCR - This system allows coal companies to report their quarterly information electronically. In BY 2019 SSCR will continue to be steady state.","129 - Reporting and Information",0.03727,0.03129,0.02826,0,0,0,0,0,0,0,0.03727,0,0.03129,0,0.02826,0,0.02826,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002181,010-000002511,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","05 - Data Center and Cloud","00 - Investment Line","OSM - Infrastructure - Data Center & Cloud","OSM standard Data Center & Cloud investment.","139 - Provide and Maintain IT Infrastructure",0.576935,0.626769,0.626769,0,0,0,0,0,0,0,0.576935,0,0.626769,0,0.626769,0,0.626769,"	5",0,0,0,2020,Split,2019-04-03,18:52:01
"	010","Department of the Interior",010-000001900,010-000001900,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - GeoMine","GeoMine is a cloud based web map and underlying Geospatial Information System (GIS) that supports the President s open government initiative through transparency, participation, and collaboration.  .","590 - Mapping / Geospatial",0.248233,0.5531,1.207763,0,0,0,0,0,0,0,0.248233,0,0.5531,0,1.207763,0,1.207763,"	1",0.125,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000722,010-000000722,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSMRE - Enhanced Abandoned Mine Land Inventory System (e-AMLIS)","A system hosting OSM's Abandoned Mine Land Inventory.  It is an inventory for reporting and updating the status of past mining problems, primarily coal mining, that are eligible for reclamation using funds collected by OSM.","024 - Environmental Remediation",0.15686,0.15686,0.15686,0,0,0,0,0,0,0,0.15686,0,0.15686,0,0.15686,0,0.15686,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000721,010-000000721,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - E-Budget","eBudget is an internal support system for budget planning and reporting.  It is used to generate excel spreadsheets.  It does not impact the financial system of record.","101 - Budget Formulation",0.04114,0.05162,0.05,0,0,0,0,0,0,0,0.04114,0,0.05162,0,0.05,0,0.05,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000771,010-000000771,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - Technical Innovation & Prof. Services (TIPS)","TIPS provides the latest commercial off the shelf scientific and engineering software and hardware tools to federal, state, and tribal experts.","026 - Scientific and Technological Research and Innovation",0.274127,0.291503,0.303746,0,0,0,0,0,0,0,0.274127,0,0.291503,0,0.303746,0,0.303746,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000357,010-000000744,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","04 - Network","00 - Investment Line","OSM - Infrastructure - Local Area Network","All IT investments required to provide networking services within a building, campus, data center or Center, including hardware, software, and services.","139 - Provide and Maintain IT Infrastructure",0.470615,0.634038,0.671153,0,0,0,0,0,0,0,0.470615,0,0.634038,0,0.671153,0,0.671153,"	5",0,0,0,2020,Split,2019-04-03,18:52:02
"	010","Department of the Interior",010-000000770,010-000000770,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - Surface Mining Resources","Includes IT investments (POW, PARIS, PECAN and AIMS) under the Support Delivery of Services Business Area which provides the critical policy, programmatic and managerial foundation to support federal government operations.","328 - Collect Revenues and User Fees",0.106562,0.072865,0.3957,0,0,0.027165,0,0.35,0,0.35,0.106562,0,0.0457,0,0.0457,0,0.0457,"	3",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000711,010-000000711,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - Applicant Violator System (AVS-WIN)","The Applicant Violator System is a tool used to implement Sec. 510(c) of the Surface Mining Control and Reclamation Act of 1977 which specifies that no mining permit be issued to applicants with responsibility for unabated mining violations.","024 - Environmental Remediation",2.199685,0.180418,0.180418,0,0,0,0,0,0,0,2.199685,0,0.180418,0,0.180418,0,0.180418,"	1",0,0.028277,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000719,010-000000719,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	02","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - Coal Fee Collection Management System (CFCMS)","Coal Fee Collection Management System (CFCMS) is the result of  the re-design & consolidation of three separate legacy collection systems.  In BY 2019 CFCMS will continue to be in steady state.","328 - Collect Revenues and User Fees",0.23745,0.37992,0.3823,0,0,0,0,0,0,0,0.23745,0,0.37992,0,0.3823,0,0.3823,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000000330,010-000002543,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","06 - End User","00 - Investment Line","OSM - Infrastructure - End User","OSM standard End User investment.","139 - Provide and Maintain IT Infrastructure",1.808448,2.139592,2.139592,0,0,0,0,0,0,0,1.808448,0,2.139592,0,2.139592,0,2.139592,"	5",0,0,0,2020,Split,2019-04-03,18:52:02
"	010","Department of the Interior",010-000001916,010-000001916,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","01 - Mission Delivery","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","OSM - Coal Information Management System (CIMS)","It manages complex bond calculations, and tracks inspections. Mine operators are able to plan multiple phases of future operations without interfering with their current permit in a way that would be impossible with the traditional file-based processes.","079 - Permits and Licensing",0.343462,0.222462,0.331772,0.343462,0,0.222462,0,0.331772,0,0.331772,0,0,0,0,0,0,0,"	3",0,0,0.222462,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000002262,010-000002262,"00 - Agency Investments",,N/A,"01 - Not Applicable","	08","Office of Surface Mining Reclamation and Enforcement","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","02 - IT Security & Compliance","00 - Investment Line","OSM - Infrastructure - IT Security & Compliance","This investment captures bureau infrastructure costs that roll up to a parent investment.","315 - Threat and Vulnerability Management",0.87973,1.025607,1.025607,0,0,0,0,0,0,0,0.87973,0,1.025607,0,1.025607,0,1.025607,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:02
"	010","Department of the Interior",010-000002323,010-000002323,"00 - Agency Investments",,N/A,"02 - Financial Management","	10","Bureau of Reclamation","02 - Administrative Services and Support Systems","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOR - BARS (Budget and Reporting System)","Budget and Reporting System (BARS) provides BOR with an automated budget execution tool for tracking funds control, rescissions, sequestration adjustments and fund transfer ceilings.","105 - Budget Execution",0.352061,0.852246,0.857438,0.047778,0,0.489994,0,0.494219,0,0.494219,0.304283,0,0.362252,0,0.363219,0,0.363219,"	1",0,0.33,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000299,010-000000299,"00 - Agency Investments",,N/A,"01 - Not Applicable","	10","Bureau of Reclamation","01 - Mission Delivery","	03","01 - Major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOR - RSAMS (Reclamation's Services and Applications for Mission Support)","RSAMS is a set of IT resources across Reclamation(BOR). It supports BOR mission-specific functions, activities & user generated data such as; Planning, Enviro prgrms, & admin functions for water & hydroelectric power mgmt objectives.","538 - Program / Project Management",5.986812,5.183194,5.364124,1.473018,0,0.887636,0,0.847024,0,0.847024,4.513794,0,4.295558,0,4.5171,0,4.5171,"	3",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000274,010-000000274,"00 - Agency Investments",,N/A,"01 - Not Applicable","	10","Bureau of Reclamation","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOR - REGIS (Reclamation Enterprise Geographic Information Systems)","Reclamation Enterprise Geographic Information System's services are intended to collect, manage, analyze, and deliver spatially referenced data. The Bureau of Reclamation Geographic Information System (BORGIS) is the component of this investment that provides the geospatial data, analytical capabilities, and decision support services which allow Reclamation staff to conduct and complete mission, regulatory, and functional responsibilities in an efficient, effective and reliable manner.","590 - Mapping / Geospatial",2.573168,2.630892,2.737741,0.396657,0,0.316105,0,0.432026,0,0.432026,2.176511,0,2.314787,0,2.305715,0,2.305715,"	1",0,0.03,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000277,010-000000277,"00 - Agency Investments",,N/A,"01 - Not Applicable","	10","Bureau of Reclamation","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOR - BORWMIS (BOR Water Management Information System)","BORWMIS provides automated support tools for climate analysis studies and projections, and numerous and varied decision-making processes related to issues of water supplies, storage, diversion, allocation, and usage associated with Reclamation projects.","538 - Program / Project Management",2.638553,1.775624,2.199515,0.525273,0,0.452875,0,0.594135,0,0.594135,2.11328,0,1.322749,0,1.60538,0,1.60538,"	3",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000293,010-000000293,"00 - Agency Investments",,N/A,"01 - Not Applicable","	10","Bureau of Reclamation","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOR - GP ICS (Great Plains Region Industrial Control Systems)","GP ICS includes the Supervisory Control and Data Acquisition (SCADA) systems for Great Plains Region including McCook SCADA and Wyoming Area Office (WYAO) SCADA. Also included is the WYAO Electronic Access Control and Surveillance System (EACSS).","538 - Program / Project Management",0.495717,0.994942,1.027912,0,0,0.02,0,0.02,0,0.02,0.495717,0,0.974942,0,1.007912,0,1.007912,"	6",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000002253,010-000002253,"00 - Agency Investments",,N/A,"01 - Not Applicable","	10","Bureau of Reclamation","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","02 - IT Security & Compliance","00 - Investment Line","BOR - Infrastructure - IT Security & Compliance","This investment captures bureau infrastructure costs that roll up to a parent investment.","315 - Threat and Vulnerability Management",8.4178,9.73581,10.196697,0.170201,0,0.145184,0,0.146609,0,0.146609,8.247599,0,9.590626,0,10.050088,0,10.050088,"	4",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000357,010-000000254,"00 - Agency Investments",,N/A,"01 - Not Applicable","	10","Bureau of Reclamation","03 - IT Infrastructure, IT Security, and IT Management","	00","05 - Standard IT Infrastructure","01 - Non-National Security System Investment","04 - Network","00 - Investment Line","BOR - Infrastructure - Local Area Network","BOR standard local area network investment.","139 - Provide and Maintain IT Infrastructure",1.707318,2.44205,2.56983,0.129228,0,0.364982,0,0.519779,0,0.519779,1.57809,0,2.077068,0,2.050051,0,2.050051,"	4",0,0,0,2020,Split,2019-04-03,18:52:01
"	010","Department of the Interior",010-000000280,010-000000280,"00 - Agency Investments",,N/A,"07 - Other","	10","Bureau of Reclamation","02 - Administrative Services and Support Systems","	01","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOR - CDW (Corporate Data Warehouse)","BOR-CDW is a centralized historical data warehouse/data mart application consisting of three major subject areas (1) financial, (2) human resources, and (3) budget.","603 - Data Warehouse",0.063566,0.076798,0.079084,0,0,0,0,0,0,0,0.063566,0,0.076798,0,0.079084,0,0.079084,"	4",0,0,0,2020,"No change in status",2019-04-03,18:52:01
"	010","Department of the Interior",010-000000296,010-000000296,"00 - Agency Investments",,N/A,"01 - Not Applicable","	10","Bureau of Reclamation","01 - Mission Delivery","	03","02 - Non-major IT","01 - Non-National Security System Investment","01 - Not Applicable","00 - Investment Line","BOR - PN ICS (Pacific Northwest Region Industrial Control Systems)","PN ICS provides automated support for efficient delivery of water & power while meeting other demands such as fish and wildlife needs, flood control, and recreation. Includes Yakima Remote Control System, and Columbia and Umatilla Basin SCADAs.","538 - Program / Project Management",0.373331,1.097,1.101,0,0,0.458,0,0.503,0,0.503,0.373331,0,0.639,0,0.598,0,0.598,"	5",0,0,0,2020,"No change in status",2019-04-03,18:52:01
